cbsa20,cbsatype20,CBSAName20,state_puma
41060,Metro,"St. Cloud, MN",27-00900
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11604
42220,Metro,"Santa Rosa-Petaluma, CA",06-09703
41180,Metro,"St. Louis, MO-IL",29-01804
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00107
33860,Metro,"Montgomery, AL",01-02100
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-02700
13780,Metro,"Binghamton, NY",36-02202
17780,Metro,"College Station-Bryan, TX",48-03602
35300,Metro,"New Haven-Milford, CT",09-00304
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03102
40900,Metro,"Sacramento-Roseville-Folsom, CA",06-11300
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-05904
38900,Metro,"Portland-Vancouver-Hillsboro, OR-WA",41-01318
47260,Metro,"Virginia Beach-Norfolk-Newport News, VA-NC",51-51154
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03004
40140,Metro,"Riverside-San Bernardino-Ontario, CA",06-06505
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-03602
16300,Metro,"Cedar Rapids, IA",19-01000
10540,Metro,"Albany-Lebanon, OR",41-00600
24220,Metro,"Grand Forks, ND-MN",27-00200
18880,Metro,"Crestview-Fort Walton Beach-Destin, FL",12-09100
41940,Metro,"San Jose-Sunnyvale-Santa Clara, CA",06-08501
35300,Metro,"New Haven-Milford, CT",09-00900
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11501
46140,Metro,"Tulsa, OK",40-01301
34820,Metro,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",45-01102
21140,Metro,"Elkhart-Goshen, IN",18-00500
40060,Metro,"Richmond, VA",51-51235
27260,Metro,"Jacksonville, FL",12-01900
23860,Micro,"Georgetown, SC",45-01000
44140,Metro,"Springfield, MA",25-01600
36420,Metro,"Oklahoma City, OK",40-00900
28940,Metro,"Knoxville, TN",47-01604
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00110
49340,Metro,"Worcester, MA-CT",25-00300
44700,Metro,"Stockton, CA",06-07703
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03521
18140,Metro,"Columbus, OH",39-04108
31700,Metro,"Manchester-Nashua, NH",33-00600
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-03729
11940,Micro,"Athens, TN",47-02100
39300,Metro,"Providence-Warwick, RI-MA",44-00102
19100,Metro,"Dallas-Fort Worth-Arlington, TX",48-01906
49340,Metro,"Worcester, MA-CT",25-00400
13380,Metro,"Bellingham, WA",53-10100
41540,Metro,"Salisbury, MD-DE",10-00300
25060,Metro,"Gulfport-Biloxi, MS",28-02000
40140,Metro,"Riverside-San Bernardino-Ontario, CA",06-06508
47900,Metro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24-01500
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03205
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04632
40060,Metro,"Richmond, VA",51-51215
18140,Metro,"Columbus, OH",39-04111
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-03702
35300,Metro,"New Haven-Milford, CT",09-00903
46140,Metro,"Tulsa, OK",40-01202
17300,Metro,"Clarksville, TN-KY",47-00300
31540,Metro,"Madison, WI",55-00103
29420,Metro,"Lake Havasu City-Kingman, AZ",04-00600
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11601
18140,Metro,"Columbus, OH",39-04104
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-01003
32140,Micro,"Marshall, MN",27-02000
24860,Metro,"Greenville-Anderson, SC",45-00105
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01407
39300,Metro,"Providence-Warwick, RI-MA",25-04301
